         10597376 function calls (10366135 primitive calls) in 71.489 seconds

   Ordered by: cumulative time
   List reduced from 3096 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   71.496   71.496 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\runners.py:8(run)
        4    0.000    0.000   71.495   17.874 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\base_events.py:611(run_until_complete)
        4    0.000    0.000   71.495   17.874 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\windows_events.py:317(run_forever)
        4    0.002    0.000   71.494   17.874 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\base_events.py:588(run_forever)
     1232    0.012    0.000   71.493    0.058 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\base_events.py:1830(_run_once)
     1232    0.002    0.000   56.918    0.046 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\windows_events.py:437(select)
     1233    0.011    0.000   56.916    0.046 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\windows_events.py:775(_poll)
     1493   56.891    0.038   56.891    0.038 {built-in method _overlapped.GetQueuedCompletionStatus}
     1294    0.003    0.000   14.560    0.011 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\asyncio\events.py:78(_run)
     1294    0.005    0.000   14.557    0.011 {method 'run' of 'Context' objects}
      273    0.025    0.000   14.470    0.053 c:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\tradeingbot.py:1269(run_candle_aggregator_per_instrument)
      319    0.024    0.000   13.012    0.041 c:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\chart_gui.py:34(update)
      138    0.097    0.001   12.663    0.092 c:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\chart_gui.py:272(_refresh_chart)
  692/412    1.704    0.002   12.263    0.030 {method 'call' of '_tkinter.tkapp' objects}
